k=0.800,k=0.825,k=0.850,k=0.875,k=0.900,k=0.925,k=0.950,k=0.975,k=1.000,k=1.025,k=1.050,k=1.075,k=1.100,k=1.125,k=1.150,k=1.175,T,Price,Strike
0.591402,0.589485,0.587774,0.586262,0.584943,0.583809,0.582852,0.582063,0.581433,0.580954,0.580617,0.580412,0.580331,0.580365,0.580504,0.580742,0.677846,0.414745,1.322559
0.586143,0.585999,0.585862,0.585731,0.585607,0.585488,0.585374,0.585266,0.585162,0.585063,0.584968,0.584877,0.584789,0.584705,0.584625,0.584547,1.084951,0.191845,0.930566
0.869512,0.868473,0.867470,0.866503,0.865569,0.864665,0.863792,0.862946,0.862126,0.861332,0.860561,0.859813,0.859087,0.858381,0.857695,0.857027,0.397085,0.381474,1.249707
0.663689,0.663473,0.663263,0.663060,0.662862,0.662670,0.662484,0.662302,0.662125,0.661953,0.661785,0.661620,0.661460,0.661304,0.661151,0.661001,1.213165,0.122160,0.698535
0.742877,0.738711,0.734674,0.730758,0.726961,0.723278,0.719704,0.716237,0.712873,0.709608,0.706440,0.703367,0.700385,0.697493,0.694687,0.691967,0.724640,0.122993,0.791309
0.750228,0.747988,0.745807,0.743681,0.741608,0.739585,0.737609,0.735678,0.733790,0.731943,0.730135,0.728364,0.726629,0.724929,0.723261,0.721625,0.552907,0.466728,1.371582
0.279119,0.277980,0.276900,0.275875,0.274904,0.273984,0.273115,0.272292,0.271516,0.270783,0.270093,0.269443,0.268833,0.268259,0.267721,0.267218,0.928192,0.065941,0.918066
0.770607,0.770319,0.770043,0.769777,0.769523,0.769278,0.769042,0.768815,0.768596,0.768385,0.768181,0.767984,0.767794,0.767610,0.767431,0.767259,1.691864,0.465797,1.129785
0.828567,0.828232,0.827908,0.827592,0.827286,0.826988,0.826698,0.826416,0.826141,0.825873,0.825611,0.825356,0.825106,0.824862,0.824624,0.824390,1.517324,0.520623,1.163965
0.456264,0.452472,0.448804,0.445258,0.441830,0.438517,0.435318,0.432231,0.429253,0.426382,0.423617,0.420957,0.418399,0.415942,0.413584,0.411325,0.893565,0.278375,1.189746
0.818089,0.815440,0.812894,0.810448,0.808095,0.805832,0.803655,0.801559,0.799542,0.797600,0.795729,0.793927,0.792191,0.790519,0.788908,0.787355,0.313324,0.050583,0.729004
0.199566,0.192331,0.185356,0.178709,0.172490,0.166838,0.161935,0.158000,0.155251,0.153829,0.153733,0.154806,0.156806,0.159480,0.162612,0.166040,1.960459,0.020246,0.772949
